1, Cowboy Bebop, TV, Original, 26, 1998-04-03, 24 min. per ep., R - 17+ (violence & profanity), 8.81, 27, 366283, 38, 710294, 39268, 8, "Action, Adventure, Comedy, Drama, Sci-Fi, Space, ", 56197, 430993, 40173, 14768, 168163, 710294,
6, Trigun, TV, Manga, 26, 1998-04-01, 24 min. per ep., PG-13 - Teens 13 or older, 8.31, 235, 198255, 138, 374724, 9809, 4, "Action, Sci-Fi, Adventure, Comedy, Drama, Shounen, ", 17179, 244845, 17249, 9027, 86424, 374724
8, Beet the Vandel Buster, TV, Manga, 52, 2004-09-30, 23 min. per ep., PG - Children, 7.04, 3404, 4765, 3500, 11293, 13, 4, "Adventure, Fantasy, Shounen, Supernatural, ", 519, 6435, 698, 981, 2660, 11293
16, Hachimitsu to Clover, TV, Manga, 24, 2005-04-15, 23 min. per ep., PG-13 - Teens 13 or older, 8.13, 397, 54509, 501, 160860, 3623, 6, "Comedy, Drama, Josei, Romance, Slice of Life, ", 8702, 65478, 9666, 8409, 68605, 160860
18, Initial D Fourth Stage, TV, Manga, 24, 2004-04-17, 27 min. per ep., PG-13 - Teens 13 or older, 8.24, 276, 37879, 1259, 64869, 585, 10, "Action, Cars, Sports, Drama, Seinen, ", 3088, 51465, 1609, 718, 7989, 64869
20, Naruto, TV, Manga, 220, 2002-10-03, 23 min. per ep., PG-13 - Teens 13 or older, 7.88, 744, 650054, 10, 983220, 34566, 12, "Action, Adventure, Comedy, Super Power, Martial Arts, Shounen, ", 66925, 776623, 36579, 72270, 30823, 983220
22, Tennis no Ouji-sama, TV, Manga, 178, 2001-10-10, 22 min. per ep., PG-13 - Teens 13 or older, 8.01, 550, 48212, 809, 107643, 2835, 17, "Action, Comedy, Sports, School, Shounen, ", 8433, 59251, 10501, 9997, 19461, 107643
24, School Rumble, TV, Manga, 26, 2004-10-05, 23 min. per ep., PG-13 - Teens 13 or older, 8.02, 537, 101724, 349, 214991, 4525, 6, "Comedy, Romance, School, Shounen, ", 8957, 127783, 10724, 10658, 56869, 214991
26, Texhnolyze, TV, Original, 22, 2003-04-17, 23 min. per ep., R+ - Mild Nudity, 7.78, 932, 29797, 660, 127016, 2606, 0, "Action, Sci-Fi, Psychological, Drama, ", 7907, 34499, 7559, 5909, 71142, 127016
ls28, Yakitate!! Japan, TV, Manga, 69, 2004-10-12, 24 min. per ep., PG-13 - Teens 13 or older, 8.02, 540, 26566, 1303, 62447, 750, 2, "Comedy, Shounen, ", 3853, 32040, 4868, 3668, 18018, 62447
